latitude,longitude,temp_c
44.5102,-57.4490,0.5444
44.5102,-55.6327,0.8667
44.5102,-53.8163,1.1487
44.5102,-52.0000,0.6556
45.3469,-141.0000,0.0000
45.3469,-139.1837,0.0000
45.3469,-137.3673,0.0000
45.3469,-135.5510,0.0000
45.3469,-133.7347,0.0000
45.3469,-131.9184,0.0021
45.3469,-130.1020,0.2496
45.3469,-128.2857,6.5362
45.3469,-126.4694,44.4438
45.3469,-124.6531,114.4278
45.3469,-122.8367,40.3976
45.3469,-121.0204,-59.7355
45.3469,-119.2041,-16.3818
45.3469,-117.3878,-0.4759
45.3469,-115.5714,26.3815
45.3469,-113.7551,116.3539
45.3469,-111.9388,98.7500
45.3469,-110.1224,-10.6644
45.3469,-108.3061,-4.4639
45.3469,-106.4898,0.2256
45.3469,-104.6735,0.2031
45.3469,-102.8571,0.0654
45.3469,-101.0408,-0.0083
45.3469,-99.2245,-0.1244
45.3469,-97.4082,-0.4359
45.3469,-95.5918,-0.1777
45.3469,-93.7755,0.1345
45.3469,-91.9592,0.7055
45.3469,-90.1429,1.7676
45.3469,-88.3265,2.0001
45.3469,-86.5102,1.7063
45.3469,-84.6939,-1.9166
45.3469,-82.8776,-21.0088
45.3469,-81.0612,-19.8573
45.3469,-79.2449,-10.7424
45.3469,-77.4286,5.7602
45.3469,-75.6122,37.7363
45.3469,-73.7959,2.6721
45.3469,-71.9796,-12.3740
45.3469,-70.1633,-9.0333
45.3469,-68.3469,-29.0007
45.3469,-66.5306,1.0748
45.3469,-64.7143,8.2364
45.3469,-62.8980,7.1785
45.3469,-61.0816,3.0519
45.3469,-59.2653,1.5194
45.3469,-57.4490,1.4129
45.3469,-55.6327,2.1477
45.3469,-53.8163,2.7519
45.3469,-52.0000,1.5304
46.1837,-141.0000,0.0000
46.1837,-139.1837,0.0000
46.1837,-137.3673,0.0000
46.1837,-135.5510,0.0000
46.1837,-133.7347,0.0000
46.1837,-131.9184,0.0079
46.1837,-130.1020,0.8166
46.1837,-128.2857,19.2897
46.1837,-126.4694,112.2618
46.1837,-124.6531,235.1473
46.1837,-122.8367,35.6130
46.1837,-121.0204,-176.4891
46.1837,-119.2041,-47.2606
46.1837,-117.3878,-2.5145
46.1837,-115.5714,66.7373
46.1837,-113.7551,310.8663
46.1837,-111.9388,266.7293
46.1837,-110.1224,-33.0323
46.1837,-108.3061,-9.7609
46.1837,-106.4898,1.5009
46.1837,-104.6735,0.7860
46.1837,-102.8571,0.2621
46.1837,-101.0408,0.0135
46.1837,-99.2245,-0.2923
46.1837,-97.4082,-1.0880
46.1837,-95.5918,-0.3302
46.1837,-93.7755,0.4790
46.1837,-91.9592,1.9965
46.1837,-90.1429,4.8003
46.1837,-88.3265,5.2533
46.1837,-86.5102,3.8174
46.1837,-84.6939,-1.0860
46.1837,-82.8776,-13.4713
46.1837,-81.0612,-2.0669
46.1837,-79.2449,-3.8119
46.1837,-77.4286,19.6394
46.1837,-75.6122,33.3865
46.1837,-73.7959,-20.3551
46.1837,-71.9796,-22.3052
46.1837,-70.1633,-36.4709
46.1837,-68.3469,-49.2475
46.1837,-66.5306,-2.3390
46.1837,-64.7143,10.2367
46.1837,-62.8980,11.0009
46.1837,-61.0816,5.4944
46.1837,-59.2653,2.9777
46.1837,-57.4490,2.7035
46.1837,-55.6327,3.8998
46.1837,-53.8163,4.8733
46.1837,-52.0000,2.6663
47.0204,-141.0000,0.0000
47.0204,-139.1837,0.0000
47.0204,-137.3673,0.0000
47.0204,-135.5510,0.0000
47.0204,-133.7347,0.0002
47.0204,-131.9184,0.0237
47.0204,-130.1020,1.9369
47.0204,-128.2857,39.9035
47.0204,-126.4694,199.2935
47.0204,-124.6531,333.6806
47.0204,-122.8367,-29.6449
47.0204,-121.0204,-346.3077
47.0204,-119.2041,-93.3963
47.0204,-117.3878,-7.4610
47.0204,-115.5714,111.5777
47.0204,-113.7551,559.6222
47.0204,-111.9388,486.7792
47.0204,-110.1224,-63.7967
47.0204,-108.3061,-8.4651
47.0204,-106.4898,5.8220
47.0204,-104.6735,2.1835
47.0204,-102.8571,0.7580
47.0204,-101.0408,0.1931
47.0204,-99.2245,-0.2958
47.0204,-97.4082,-1.4671
47.0204,-95.5918,-0.0085
47.0204,-93.7755,1.2425
47.0204,-91.9592,3.8983
47.0204,-90.1429,8.8486
47.0204,-88.3265,9.5591
47.0204,-86.5102,6.0815
47.0204,-84.6939,-0.3856
47.0204,-82.8776,-11.3844
47.0204,-81.0612,1.9227
47.0204,-79.2449,1.4154
47.0204,-77.4286,29.8355
47.0204,-75.6122,34.6388
47.0204,-73.7959,-50.6526
47.0204,-71.9796,-43.6741
47.0204,-70.1633,-39.2811
47.0204,-68.3469,-40.8923
47.0204,-66.5306,-3.7697
47.0204,-64.7143,9.8566
47.0204,-62.8980,12.9974
47.0204,-61.0816,6.6168
47.0204,-59.2653,4.0194
47.0204,-57.4490,4.1010
47.0204,-55.6327,5.3861
47.0204,-53.8163,6.5754
47.0204,-52.0000,3.5519
47.8571,-141.0000,0.0000
47.8571,-139.1837,0.0000
47.8571,-137.3673,0.0000
47.8571,-135.5510,0.0001
47.8571,-133.7347,0.0016
